case_id,split,n_volume,sdf_mean,sdf_std,sdf_min,sdf_max,sdf_q05,sdf_q25,sdf_q50,sdf_q75,sdf_q95,sdf_negative_frac,sdf_near_surface_frac
run_1,train,14744958,0.21785955009967958,1.5782651326215358,-0.3161640465259552,80.25680541992188,0.00036312944866949697,0.0016217559459619224,0.00489458441734314,0.035053943283855915,0.8977766633033752,0.00013238423602156073,0.8317053870211092
run_2,train,13710213,0.22416240510004642,1.6458865968799574,-0.3196473717689514,530.3661499023438,0.00036748670972883705,0.0016528080450370908,0.005118533503264189,0.034639135003089905,0.8688163995742721,0.00014120860120845678,0.8381147688952754
run_3,train,14387065,0.2218940022625538,1.6100831322076599,-0.3803696632385254,80.50009155273438,0.0003586729231756181,0.001570034772157669,0.0046451217494904995,0.026445096358656883,0.884846568107601,0.00018461027318636568,0.846356570989288
run_5,train,12795605,0.2381942270283783,1.6774445641280926,-0.35161393880844116,80.42156219482422,0.000367539789294824,0.0016615026397630572,0.005377899389714003,0.036795906722545624,0.9955870509147631,0.00014004808682356167,0.8310976307880714
run_6,train,15928193,0.19226168269631722,1.5196968853653272,-0.2867508828639984,80.44757080078125,0.0003526624641381205,0.001536222524009645,0.0040459344163537025,0.02042577601969242,0.6824931025505001,0.00017560058444796595,0.8587043740617658
run_7,train,13462322,0.2294187839547836,1.6496323093837686,-0.290789932012558,80.42536926269531,0.00035953638289356606,0.0015855205710977316,0.004834735067561269,0.029512903187423944,0.9047488540410995,0.00016096777361290275,0.842171432238807
run_8,train,14747510,0.22277744690492216,1.5936525682463905,-0.43247687816619873,80.2196273803711,0.0003664205432869494,0.0016555320471525192,0.005068265367299318,0.03821930568665266,0.9382365852594344,0.00014741471611139778,0.8278105253022374
run_9,train,14467382,0.21652101857924141,1.5927880016623444,-0.3022777736186981,80.40618896484375,0.00036372684844536706,0.0016204689454752952,0.004939098842442036,0.03279249835759401,0.8822171658277502,0.00015870183008923107,0.8368276997178895
run_10,train,13738351,0.2228019199489539,1.642081777861695,-0.35111159086227417,84.49444580078125,0.00036073273804504424,0.0015949102235026658,0.004873631522059441,0.027996650896966457,0.8685173392295837,0.0001771682787839676,0.8458299689678914
run_13,train,14039650,0.22957206887465043,1.6381427821474555,-0.28374025225639343,80.70082092285156,0.0003612648462876678,0.0016010625404305756,0.004860925022512674,0.0318002887070179,0.921456041932104,0.0001420263325652705,0.8368407332091612
